tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
English,1754,Brigham Young University - Idaho,Ryan,,Hales,500631,61,good,TEACHER,PROFESSOR,4.1
Physical Education,1754,Brigham Young University - Idaho,Preston,,Haley,980198,9,average,TEACHER,PROFESSOR,3.3
Education,1754,Brigham Young University - Idaho,Christina,,Hall,1844044,39,good,TEACHER,PROFESSOR,4.0
Accounting,1754,Brigham Young University - Idaho,Jeremy,,Hall,2045452,1,good,TEACHER,PROFESSOR,5.0
Career Development,1754,Brigham Young University - Idaho,Ralph,L.,Hall,2477377,2,good,TEACHER,PROFESSOR,4.5
Foundations,1754,Brigham Young University - Idaho,Jonathan,Glade,Hall,2356193,2,good,TEACHER,PROFESSOR,4.0
Foundations,1754,Brigham Young University - Idaho,Bruce,,Hall,2384994,1,good,TEACHER,PROFESSOR,5.0
Home & Family Studies,1754,Brigham Young University - Idaho,Stephanie,,Hall,2392700,9,poor,TEACHER,PROFESSOR,2.3
Child & Family Studies,1754,Brigham Young University - Idaho,Dee,Ann,Hall,2755070,1,good,TEACHER,PROFESSOR,5.0
Religion,1754,Brigham Young University - Idaho,Jonathan,,Hall,1751164,15,good,TEACHER,PROFESSOR,4.6
Mathematics,1754,Brigham Young University - Idaho,Kasey,,Halling,2359733,75,good,TEACHER,PROFESSOR,4.8
Foreign Languages & Literature,1754,Brigham Young University - Idaho,Emily,,Hamblin,1254049,3,good,TEACHER,PROFESSOR,4.7
Child & Family Studies,1754,Brigham Young University - Idaho,Jeffery,,Hamblin,238083,32,average,TEACHER,PROFESSOR,3.2
English,1754,Brigham Young University - Idaho,Doug,,Hamelin,935816,9,good,TEACHER,PROFESSOR,3.9
Computer Information Technology,1754,Brigham Young University - Idaho,Blaine,,Hamilton,2834890,10,good,TEACHER,PROFESSOR,4.8
Education,1754,Brigham Young University - Idaho,Charles,,Hamilton,1902192,13,average,TEACHER,PROFESSOR,3.4
English,1754,Brigham Young University - Idaho,Don,,Hammar,21453,66,average,TEACHER,PROFESSOR,2.5
English,1754,Brigham Young University - Idaho,Donald,J,Hammar,2152053,3,average,TEACHER,PROFESSOR,3.3
Online Learning,1754,Brigham Young University - Idaho,Joshua,,Hammari,1871928,2,good,TEACHER,PROFESSOR,4.0
English,1754,Brigham Young University - Idaho,Darin,,Hammond,678611,32,good,TEACHER,PROFESSOR,4.4
